query_id,query_text,intended_category,semantic_intent,created_at
query_000001,NeonFit women's dresses review,Clothing,Looking for reviews of NeonFit Women's Dresses,2026-03-04T00:23:14.681159+00:00
query_000002,best smartphones,Electronics,Browse top-rated Smartphones in Electronics,2026-03-29T00:12:12.547429+00:00
query_000003,PureComfort Activewear,Clothing,Exact search for Activewear by PureComfort in Clothing,2026-01-29T04:51:49.289749+00:00
query_000004,BrainBoost Outdoor Toys,Toys & Games,Exact search for Outdoor Toys by BrainBoost in Toys & Games,2026-01-20T05:06:58.954142+00:00
query_000005,affordable cameras for everyday use,Electronics,I need budget-friendly Cameras from Electronics,2026-03-04T20:07:56.853695+00:00
query_000006,PureBloom skincare review,Beauty & Personal Care,Looking for reviews of PureBloom Skincare,2026-02-22T23:32:41.906329+00:00
query_000007,PureBite Baking,Grocery & Gourmet Food,Exact search for Baking by PureBite in Grocery & Gourmet Food,2026-02-21T13:52:36.891353+00:00
query_000008,BrainBoost Puzzles,Toys & Games,Exact search for Puzzles by BrainBoost in Toys & Games,2026-02-13T14:28:24.540862+00:00
query_000009,DriveSafe Oils & Fluids,Automotive,Exact search for Oils & Fluids by DriveSafe in Automotive,2026-03-17T11:59:52.795191+00:00
query_000010,affordable tires for everyday use,Automotive,I need budget-friendly Tires from Automotive,2026-02-18T20:02:35.901261+00:00
query_000011,affordable oils & fluids for everyday use,Automotive,I need budget-friendly Oils & Fluids from Automotive,2026-03-08T16:01:21.647825+00:00
query_000012,TrailMaster Cycling,Sports & Outdoors,Exact search for Cycling by TrailMaster in Sports & Outdoors,2026-01-01T21:32:40.696415+00:00
query_000013,ChefElite furniture review,Home & Kitchen,Looking for reviews of ChefElite Furniture,2026-02-04T23:30:34.441329+00:00
query_000014,affordable camping gear for everyday use,Sports & Outdoors,I need budget-friendly Camping Gear from Sports & Outdoors,2026-01-23T12:08:57.434466+00:00
query_000015,AdventureZone Board Games,Toys & Games,Exact search for Board Games by AdventureZone in Toys & Games,2026-02-06T17:56:06.240136+00:00
query_000016,ReadersGate Fiction,Books,Exact search for Fiction by ReadersGate in Books,2026-02-19T18:21:13.664035+00:00
query_000017,CleanShield Vitamins,Health & Household,Exact search for Vitamins by CleanShield in Health & Household,2026-01-08T07:16:57.282119+00:00
query_000018,best spices,Grocery & Gourmet Food,Browse top-rated Spices in Grocery & Gourmet Food,2026-03-10T13:25:30.989077+00:00
query_000019,best skincare,Beauty & Personal Care,Browse top-rated Skincare in Beauty & Personal Care,2026-01-28T14:36:15.613569+00:00
query_000020,affordable puzzles for everyday use,Toys & Games,I need budget-friendly Puzzles from Toys & Games,2026-02-01T00:58:45.567655+00:00
query_000021,best baking,Grocery & Gourmet Food,Browse top-rated Baking in Grocery & Gourmet Food,2026-01-14T23:56:42.694090+00:00
query_000022,affordable activewear for everyday use,Clothing,I need budget-friendly Activewear from Clothing,2026-02-02T08:29:41.342454+00:00
query_000023,best tires,Automotive,Browse top-rated Tires in Automotive,2026-01-08T01:22:03.857457+00:00
query_000024,NovaDigital smartphones review,Electronics,Looking for reviews of NovaDigital Smartphones,2026-02-26T02:18:21.288473+00:00
query_000025,OrganicRoots beverages review,Grocery & Gourmet Food,Looking for reviews of OrganicRoots Beverages,2026-02-05T19:17:07.094923+00:00
query_000026,best fitness equipment,Sports & Outdoors,Browse top-rated Fitness Equipment in Sports & Outdoors,2026-01-29T08:37:27.645716+00:00
query_000027,best air quality,Health & Household,Browse top-rated Air Quality in Health & Household,2026-03-28T22:14:58.728683+00:00
query_000028,best puzzles,Toys & Games,Browse top-rated Puzzles in Toys & Games,2026-03-31T19:07:58.380689+00:00
query_000029,FunCraft Puzzles,Toys & Games,Exact search for Puzzles by FunCraft in Toys & Games,2026-02-17T03:35:36.467229+00:00
query_000030,QuantumTech Laptops,Electronics,Exact search for Laptops by QuantumTech in Electronics,2026-01-13T20:50:42.144152+00:00
query_000031,CozyNest Furniture,Home & Kitchen,Exact search for Furniture by CozyNest in Home & Kitchen,2026-01-29T08:56:55.867975+00:00
query_000032,HomeCraft Cookware,Home & Kitchen,Exact search for Cookware by HomeCraft in Home & Kitchen,2026-01-31T10:19:04.040598+00:00
query_000033,best organic,Grocery & Gourmet Food,Browse top-rated Organic in Grocery & Gourmet Food,2026-03-12T17:50:07.780654+00:00
query_000034,PureBite Organic,Grocery & Gourmet Food,Exact search for Organic by PureBite in Grocery & Gourmet Food,2026-01-29T23:31:05.278606+00:00
query_000035,NatureScent Fragrance,Beauty & Personal Care,Exact search for Fragrance by NatureScent in Beauty & Personal Care,2026-01-04T19:49:10.410697+00:00
query_000036,SilkTouch makeup review,Beauty & Personal Care,Looking for reviews of SilkTouch Makeup,2026-01-18T06:56:20.285193+00:00
query_000037,MechPro Tires,Automotive,Exact search for Tires by MechPro in Automotive,2026-03-17T08:34:47.463014+00:00
query_000038,HomeCraft bedding review,Home & Kitchen,Looking for reviews of HomeCraft Bedding,2026-03-04T14:17:52.977696+00:00
query_000039,FitGear Pro Fitness Equipment,Sports & Outdoors,Exact search for Fitness Equipment by FitGear Pro in Sports & Outdoors,2026-02-11T10:15:22.547817+00:00
query_000040,AutoGuard car accessories review,Automotive,Looking for reviews of AutoGuard Car Accessories,2026-01-06T02:49:17.012451+00:00
query_000041,best hair care,Beauty & Personal Care,Browse top-rated Hair Care in Beauty & Personal Care,2026-03-24T08:55:28.518940+00:00
query_000042,PlayWorld board games review,Toys & Games,Looking for reviews of PlayWorld Board Games,2026-03-23T15:11:46.653706+00:00
query_000043,CleanShield paper goods review,Health & Household,Looking for reviews of CleanShield Paper Goods,2026-01-30T18:20:06.887831+00:00
query_000044,BrainBoost Educational,Toys & Games,Exact search for Educational by BrainBoost in Toys & Games,2026-03-15T16:55:22.471555+00:00
query_000045,affordable women's dresses for everyday use,Clothing,I need budget-friendly Women's Dresses from Clothing,2026-01-02T17:35:27.152406+00:00
query_000046,MechPro tools & equipment review,Automotive,Looking for reviews of MechPro Tools & Equipment,2026-02-16T15:54:04.150581+00:00
query_000047,FarmFresh baking review,Grocery & Gourmet Food,Looking for reviews of FarmFresh Baking,2026-02-05T22:59:28.425834+00:00
query_000048,SilkTouch Skincare,Beauty & Personal Care,Exact search for Skincare by SilkTouch in Beauty & Personal Care,2026-02-08T17:29:32.529835+00:00
query_000049,RadianceCo Skincare,Beauty & Personal Care,Exact search for Skincare by RadianceCo in Beauty & Personal Care,2026-02-17T16:15:12.696978+00:00
query_000050,affordable headphones for everyday use,Electronics,I need budget-friendly Headphones from Electronics,2026-02-06T14:51:27.510649+00:00
query_000051,best smartphones,Electronics,Browse top-rated Smartphones in Electronics,2026-01-31T23:48:34.453967+00:00
query_000052,AtlasBooks Non-Fiction,Books,Exact search for Non-Fiction by AtlasBooks in Books,2026-02-22T16:24:01.696603+00:00
query_000053,ModernSpace Storage,Home & Kitchen,Exact search for Storage by ModernSpace in Home & Kitchen,2026-01-14T10:16:12.047449+00:00
query_000054,affordable spices for everyday use,Grocery & Gourmet Food,I need budget-friendly Spices from Grocery & Gourmet Food,2026-02-25T22:22:19.321217+00:00
query_000055,PlayWorld Puzzles,Toys & Games,Exact search for Puzzles by PlayWorld in Toys & Games,2026-01-26T18:45:09.584967+00:00
