user_id,preferred_categories,preferred_brands,price_preference,activity_level,is_cold_start,created_at
user_000001,"[""Automotive""]","[""DriveSafe""]",mid_range,low,true,2026-03-29T13:23:07.629892+00:00
user_000002,"[""Toys & Games"", ""Books"", ""Health & Household""]","[""FunCraft"", ""PenPoint Press"", ""EcoFresh""]",premium,low,true,2026-03-18T21:13:42.854600+00:00
user_000003,"[""Sports & Outdoors"", ""Health & Household""]","[""ZenYoga"", ""PureCare""]",premium,low,true,2026-03-27T01:49:08.665500+00:00
user_000004,"[""Books"", ""Sports & Outdoors""]","[""StoryWeave"", ""PeakAscent""]",mid_range,medium,true,2026-03-24T06:12:10.102087+00:00
user_000005,"[""Books"", ""Home & Kitchen""]","[""BrightMinds"", ""CozyNest""]",budget,medium,true,2026-03-27T12:25:52.371961+00:00
user_000006,"[""Home & Kitchen"", ""Books""]","[""BrightHome"", ""PenPoint Press""]",premium,medium,true,2026-03-21T01:26:27.213807+00:00
user_000007,"[""Clothing""]","[""TrailBlaze""]",premium,high,true,2026-03-31T21:59:18.500301+00:00
user_000008,"[""Books"", ""Beauty & Personal Care""]","[""BrightMinds"", ""SilkTouch""]",premium,low,true,2026-03-21T18:35:58.753826+00:00
user_000009,"[""Books"", ""Beauty & Personal Care""]","[""BrightMinds"", ""PureBloom""]",mid_range,medium,true,2026-03-29T03:35:43.973325+00:00
user_000010,"[""Beauty & Personal Care""]","[""PureBloom""]",mid_range,low,true,2026-03-18T20:58:25.514359+00:00
user_000011,"[""Beauty & Personal Care"", ""Electronics"", ""Automotive""]","[""RadianceCo"", ""TechPro"", ""TurboEdge""]",budget,low,false,2026-02-15T20:29:10.764902+00:00
user_000012,"[""Electronics"", ""Health & Household""]","[""TechPro"", ""WellnessPlus""]",premium,low,false,2026-02-20T08:51:00.029050+00:00
user_000013,"[""Books"", ""Sports & Outdoors"", ""Automotive""]","[""BrightMinds"", ""PeakAscent"", ""RoadMaster""]",premium,high,false,2026-02-25T20:44:31.216334+00:00
user_000014,"[""Clothing"", ""Home & Kitchen"", ""Grocery & Gourmet Food""]","[""EleganceWear"", ""CozyNest"", ""TasteHaven""]",budget,medium,false,2026-03-05T13:53:05.986179+00:00
user_000015,"[""Books""]","[""ReadersGate""]",budget,high,false,2026-03-15T10:11:20.044913+00:00
user_000016,"[""Sports & Outdoors"", ""Clothing"", ""Books""]","[""AquaSport"", ""NeonFit"", ""StoryWeave""]",mid_range,high,false,2026-01-25T18:03:00.004758+00:00
user_000017,"[""Toys & Games""]","[""AdventureZone""]",premium,medium,false,2026-02-09T22:39:26.108871+00:00
user_000018,"[""Home & Kitchen"", ""Books"", ""Sports & Outdoors""]","[""ChefElite"", ""StoryWeave"", ""TrailMaster""]",mid_range,medium,false,2026-01-18T07:32:00.822908+00:00
