item_id,title,description,category,subcategory,brand,price,quality_score,popularity_score,is_cold_start,created_at
item_000001,EcoFresh Modern Air Quality,EcoFresh Modern Air Quality — high-quality air quality for health & household enthusiasts.,Health & Household,Air Quality,EcoFresh,3.38,0.6139,0.5409,true,2026-03-23T14:17:12.511652+00:00
item_000002,EcoFresh Ultra Air Quality,EcoFresh Ultra Air Quality — high-quality air quality for health & household enthusiasts.,Health & Household,Air Quality,EcoFresh,3.63,0.9715,0.0711,true,2026-03-12T10:57:59.542278+00:00
item_000003,PeakAscent Deluxe Yoga,PeakAscent Deluxe Yoga — high-quality yoga for sports & outdoors enthusiasts.,Sports & Outdoors,Yoga,PeakAscent,406.01,0.6881,0.1918,true,2026-03-25T12:27:30.913308+00:00
item_000004,AtlasBooks Deluxe Comic,AtlasBooks Deluxe Comic — high-quality comics for books enthusiasts.,Books,Comics,AtlasBooks,35.03,0.6440,0.1410,true,2026-03-05T23:58:24.427289+00:00
item_000005,TechPro Everyday Smartphone,Top-rated smartphones product from TechPro. Ideal for daily use.,Electronics,Smartphones,TechPro,1776.65,0.6980,0.0380,true,2026-03-06T15:30:21.426049+00:00
item_000006,GlowLab Modern Skincare,"Discover GlowLab Modern Skincare, the perfect skincare solution.",Beauty & Personal Care,Skincare,GlowLab,76.18,0.6280,0.2855,true,2026-03-31T09:20:23.749912+00:00
item_000007,AtlasBooks Eco Comic,Top-rated comics product from AtlasBooks. Ideal for daily use.,Books,Comics,AtlasBooks,36.79,1.0000,0.0917,true,2026-03-29T12:58:25.282993+00:00
item_000008,PeakAscent Eco Yoga,"Discover PeakAscent Eco Yoga, the perfect yoga solution.",Sports & Outdoors,Yoga,PeakAscent,70.68,0.5153,0.2408,true,2026-03-02T18:14:47.537450+00:00
item_000009,GlowLab Premium Skincare,GlowLab Premium Skincare — high-quality skincare for beauty & personal care enthusiasts.,Beauty & Personal Care,Skincare,GlowLab,61.72,0.7596,0.1008,true,2026-03-22T23:52:41.627561+00:00
item_000010,PeakAscent Classic Yoga,"Discover PeakAscent Classic Yoga, the perfect yoga solution.",Sports & Outdoors,Yoga,PeakAscent,378.67,0.8830,0.0999,true,2026-03-27T20:25:38.017553+00:00
item_000011,DriveSafe Modern Oils & Fluid,DriveSafe Modern Oils & Fluid delivers outstanding performance in oils & fluids.,Automotive,Oils & Fluids,DriveSafe,390.16,1.0000,0.3519,true,2026-03-21T10:35:56.616456+00:00
item_000012,GlowLab Premium Skincare,Top-rated skincare product from GlowLab. Ideal for daily use.,Beauty & Personal Care,Skincare,GlowLab,50.50,0.7029,0.0609,true,2026-03-08T22:52:29.541490+00:00
item_000013,SpiceTrail Essential Spice,Top-rated spices product from SpiceTrail. Ideal for daily use.,Grocery & Gourmet Food,Spices,SpiceTrail,61.48,0.7057,0.2944,true,2026-03-19T19:30:34.342419+00:00
item_000014,AtlasBooks Premium Comic,AtlasBooks Premium Comic — high-quality comics for books enthusiasts.,Books,Comics,AtlasBooks,67.75,0.5540,0.0731,true,2026-03-05T16:37:03.597642+00:00
item_000015,SpiceTrail Everyday Spice,"Discover SpiceTrail Everyday Spice, the perfect spices solution.",Grocery & Gourmet Food,Spices,SpiceTrail,46.10,0.7310,0.0136,true,2026-03-29T17:29:07.421556+00:00
item_000016,EleganceWear Eco Women's Dresse,EleganceWear Eco Women's Dresse — high-quality women's dresses for clothing enthusiasts.,Clothing,Women's Dresses,EleganceWear,173.74,0.4350,0.2571,true,2026-03-08T01:34:30.081915+00:00
item_000017,AtlasBooks Professional Comic,AtlasBooks Professional Comic — high-quality comics for books enthusiasts.,Books,Comics,AtlasBooks,35.49,0.7852,0.1782,true,2026-03-19T11:01:07.544976+00:00
item_000018,GlowLab Classic Skincare,Top-rated skincare product from GlowLab. Ideal for daily use.,Beauty & Personal Care,Skincare,GlowLab,128.48,1.0000,0.1353,true,2026-03-24T14:55:05.378802+00:00
item_000019,DriveSafe Professional Oils & Fluid,DriveSafe Professional Oils & Fluid — high-quality oils & fluids for automotive enthusiasts.,Automotive,Oils & Fluids,DriveSafe,40.94,0.4825,0.0797,true,2026-03-03T22:59:18.733612+00:00
item_000020,TechPro Professional Smartphone,"Discover TechPro Professional Smartphone, the perfect smartphones solution.",Electronics,Smartphones,TechPro,2173.16,0.6215,0.2078,true,2026-03-03T21:05:46.677842+00:00
item_000021,BrainBoost Deluxe Action Figure,BrainBoost Deluxe Action Figure — high-quality action figures for toys & games enthusiasts.,Toys & Games,Action Figures,BrainBoost,71.84,0.6085,0.2443,true,2026-03-24T23:07:41.071909+00:00
item_000022,AtlasBooks Eco Comic,Experience excellence with AtlasBooks Eco Comic. Premium books choice.,Books,Comics,AtlasBooks,36.74,0.7280,0.0743,true,2026-03-29T17:14:37.517934+00:00
item_000023,AtlasBooks Essential Comic,AtlasBooks Essential Comic delivers outstanding performance in comics.,Books,Comics,AtlasBooks,32.01,0.4481,0.0576,true,2026-03-28T04:22:54.845037+00:00
item_000024,TechPro Classic Smartphone,TechPro Classic Smartphone — high-quality smartphones for electronics enthusiasts.,Electronics,Smartphones,TechPro,1291.76,0.6645,0.5189,true,2026-03-30T01:11:57.090337+00:00
item_000025,SpiceTrail Eco Spice,SpiceTrail Eco Spice delivers outstanding performance in spices.,Grocery & Gourmet Food,Spices,SpiceTrail,5.83,0.6161,0.0035,true,2026-03-24T11:03:13.835166+00:00
item_000026,SpiceTrail Premium Spice,"Discover SpiceTrail Premium Spice, the perfect spices solution.",Grocery & Gourmet Food,Spices,SpiceTrail,59.57,0.8925,0.2114,true,2026-03-12T08:02:04.041359+00:00
item_000027,ChefElite Deluxe Bedding,ChefElite Deluxe Bedding — high-quality bedding for home & kitchen enthusiasts.,Home & Kitchen,Bedding,ChefElite,45.61,0.9041,0.2010,true,2026-03-02T12:25:58.713706+00:00
item_000028,BrainBoost Compact Action Figure,Experience excellence with BrainBoost Compact Action Figure. Premium toys & games choice.,Toys & Games,Action Figures,BrainBoost,169.86,0.7601,0.0772,true,2026-03-31T06:54:14.091831+00:00
item_000029,BrainBoost Everyday Action Figure,Top-rated action figures product from BrainBoost. Ideal for daily use.,Toys & Games,Action Figures,BrainBoost,20.18,0.4342,0.1311,true,2026-03-20T12:41:10.714665+00:00
item_000030,AtlasBooks Essential Comic,Top-rated comics product from AtlasBooks. Ideal for daily use.,Books,Comics,AtlasBooks,25.55,0.7536,0.2211,true,2026-03-16T15:42:14.520456+00:00
item_000031,SpiceTrail Ultra Spice,Experience excellence with SpiceTrail Ultra Spice. Premium grocery & gourmet food choice.,Grocery & Gourmet Food,Spices,SpiceTrail,76.49,0.6776,0.0697,true,2026-03-11T20:54:44.903772+00:00
item_000032,BrainBoost Compact Action Figure,"Discover BrainBoost Compact Action Figure, the perfect action figures solution.",Toys & Games,Action Figures,BrainBoost,104.02,0.7362,0.2272,true,2026-03-11T00:47:57.161413+00:00
item_000033,PeakAscent Ultra Yoga,PeakAscent Ultra Yoga delivers outstanding performance in yoga.,Sports & Outdoors,Yoga,PeakAscent,401.00,0.6655,0.1845,true,2026-03-11T06:31:17.698032+00:00
item_000034,BrainBoost Classic Action Figure,"Discover BrainBoost Classic Action Figure, the perfect action figures solution.",Toys & Games,Action Figures,BrainBoost,138.33,0.8637,0.2838,true,2026-03-11T15:06:00.810251+00:00
